"","time_usec","domain","count"
"1",2020-12-21,"stackoverflow.com",13
"2",2020-12-21,"wikipedia.org",0
"3",2020-12-21,"github.com",87
"4",2020-12-21,"pw.edu.pl",12
"5",2020-12-21,"youtube.com",3
"6",2020-12-21,"google.com",71
"7",2020-12-21,"facebook.com",12
"8",2020-12-21,"instagram.com",0
"9",2020-12-22,"stackoverflow.com",5
"10",2020-12-22,"wikipedia.org",0
"11",2020-12-22,"github.com",12
"12",2020-12-22,"pw.edu.pl",15
"13",2020-12-22,"youtube.com",0
"14",2020-12-22,"google.com",9
"15",2020-12-22,"facebook.com",14
"16",2020-12-22,"instagram.com",0
"17",2020-12-23,"stackoverflow.com",0
"18",2020-12-23,"wikipedia.org",0
"19",2020-12-23,"github.com",7
"20",2020-12-23,"pw.edu.pl",11
"21",2020-12-23,"youtube.com",0
"22",2020-12-23,"google.com",2
"23",2020-12-23,"facebook.com",4
"24",2020-12-23,"instagram.com",0
"25",2020-12-25,"stackoverflow.com",0
"26",2020-12-25,"wikipedia.org",0
"27",2020-12-25,"github.com",3
"28",2020-12-25,"pw.edu.pl",5
"29",2020-12-25,"youtube.com",0
"30",2020-12-25,"google.com",0
"31",2020-12-25,"facebook.com",0
"32",2020-12-25,"instagram.com",0
"33",2020-12-27,"stackoverflow.com",0
"34",2020-12-27,"wikipedia.org",0
"35",2020-12-27,"github.com",5
"36",2020-12-27,"pw.edu.pl",7
"37",2020-12-27,"youtube.com",0
"38",2020-12-27,"google.com",0
"39",2020-12-27,"facebook.com",0
"40",2020-12-27,"instagram.com",0
"41",2020-12-28,"stackoverflow.com",1
"42",2020-12-28,"wikipedia.org",0
"43",2020-12-28,"github.com",118
"44",2020-12-28,"pw.edu.pl",7
"45",2020-12-28,"youtube.com",0
"46",2020-12-28,"google.com",5
"47",2020-12-28,"facebook.com",12
"48",2020-12-28,"instagram.com",0
"49",2020-12-29,"stackoverflow.com",4
"50",2020-12-29,"wikipedia.org",0
"51",2020-12-29,"github.com",102
"52",2020-12-29,"pw.edu.pl",0
"53",2020-12-29,"youtube.com",0
"54",2020-12-29,"google.com",11
"55",2020-12-29,"facebook.com",1
"56",2020-12-29,"instagram.com",0
"57",2020-12-30,"stackoverflow.com",0
"58",2020-12-30,"wikipedia.org",0
"59",2020-12-30,"github.com",4
"60",2020-12-30,"pw.edu.pl",0
"61",2020-12-30,"youtube.com",0
"62",2020-12-30,"google.com",0
"63",2020-12-30,"facebook.com",4
"64",2020-12-30,"instagram.com",0
"65",2021-01-03,"stackoverflow.com",0
"66",2021-01-03,"wikipedia.org",5
"67",2021-01-03,"github.com",4
"68",2021-01-03,"pw.edu.pl",25
"69",2021-01-03,"youtube.com",1
"70",2021-01-03,"google.com",29
"71",2021-01-03,"facebook.com",0
"72",2021-01-03,"instagram.com",0
"73",2021-01-04,"stackoverflow.com",16
"74",2021-01-04,"wikipedia.org",0
"75",2021-01-04,"github.com",56
"76",2021-01-04,"pw.edu.pl",34
"77",2021-01-04,"youtube.com",5
"78",2021-01-04,"google.com",86
"79",2021-01-04,"facebook.com",13
"80",2021-01-04,"instagram.com",0
"81",2021-01-05,"stackoverflow.com",0
"82",2021-01-05,"wikipedia.org",9
"83",2021-01-05,"github.com",31
"84",2021-01-05,"pw.edu.pl",22
"85",2021-01-05,"youtube.com",3
"86",2021-01-05,"google.com",35
"87",2021-01-05,"facebook.com",14
"88",2021-01-05,"instagram.com",0
"89",2021-01-06,"stackoverflow.com",0
"90",2021-01-06,"wikipedia.org",0
"91",2021-01-06,"github.com",2
"92",2021-01-06,"pw.edu.pl",5
"93",2021-01-06,"youtube.com",0
"94",2021-01-06,"google.com",1
"95",2021-01-06,"facebook.com",0
"96",2021-01-06,"instagram.com",0
"97",2021-01-07,"stackoverflow.com",0
"98",2021-01-07,"wikipedia.org",0
"99",2021-01-07,"github.com",22
"100",2021-01-07,"pw.edu.pl",15
"101",2021-01-07,"youtube.com",2
"102",2021-01-07,"google.com",3
"103",2021-01-07,"facebook.com",5
"104",2021-01-07,"instagram.com",0
"105",2021-01-08,"stackoverflow.com",4
"106",2021-01-08,"wikipedia.org",0
"107",2021-01-08,"github.com",45
"108",2021-01-08,"pw.edu.pl",46
"109",2021-01-08,"youtube.com",3
"110",2021-01-08,"google.com",37
"111",2021-01-08,"facebook.com",6
"112",2021-01-08,"instagram.com",0
"113",2021-01-09,"stackoverflow.com",2
"114",2021-01-09,"wikipedia.org",3
"115",2021-01-09,"github.com",56
"116",2021-01-09,"pw.edu.pl",16
"117",2021-01-09,"youtube.com",0
"118",2021-01-09,"google.com",20
"119",2021-01-09,"facebook.com",21
"120",2021-01-09,"instagram.com",0
"121",2021-01-10,"stackoverflow.com",3
"122",2021-01-10,"wikipedia.org",0
"123",2021-01-10,"github.com",15
"124",2021-01-10,"pw.edu.pl",1
"125",2021-01-10,"youtube.com",0
"126",2021-01-10,"google.com",13
"127",2021-01-10,"facebook.com",8
"128",2021-01-10,"instagram.com",0
